date | value
2024-04-31 | 3
2024-06-31 | 3
2024-09-31 | 3
2024-11-31 | 3
2024-01-32 | 3
2024-01-33 | 3
2024-01-34 | 3
2024-03-32 | 3
2024-03-33 | 3
2024-03-34 | 3
2024-05-32 | 3
2024-05-33 | 3
2024-05-34 | 3
2024-07-32 | 3
2024-07-33 | 3
2024-07-34 | 3
2024-08-32 | 3
2024-08-33 | 3
2024-08-34 | 3
2024-10-32 | 3
2024-10-33 | 3
2024-10-34 | 3
2024-12-32 | 3
2024-12-33 | 3
2024-12-34 | 3
2023-02-29 | 3
2024-02-30 | 3
2024-02-31 | 3
2024-13-01 | 3
2024-14-01 | 3
2024-15-01 | 3
2024-16-01 | 3
2024-17-01 | 3
2024-18-01 | 3
2024-19-01 | 3
1900-02-29 | 3
2100-02-29 | 3
2200-02-29 | 3
2300-02-29 | 3
2024/13/32 | 3
2024.12.32 | 3
24-13-32 | 3
2024-0-0 | 3
0000-00-00 | 3
YYYY-MM-DD | 3
2024--01 | 3
2024-01- | 3
-01-01 | 3
-01 | 3
-2024 | 3
-2024-02 | 3
-2024-02- | 3
0000-01-01 | 3
10000-01-01 | 3
-2024-01-01 | 3
2024-00-01 | 3
2024-01-00 | 3